,comments
1043,这鸡会你干嘛吗？
1044,坤坤毁灭者
1045,太油了
1046,啊你甘鬼死蠢概［doge］
1047,你干嘛
1048,前面的，默默的还说出来干什么？博眼球？
1049,血浴
1050,荔枝一点啊
1051,你干嘛~哎呦~
1052,你干嘛∽∽
1053,鸡：你干嘛～哎哟
1054,12
1055,喂是南翔吗
1056,那以前没有海鲜酱的人是怎么腌的呀？
1057,太搞了，哈哈哈
1058,广东人一年十三亿只鸡哈哈哈哈哈哈
1059,口服gay
1060,啧啧啧
1061,利口福？
1062,空气炸锅应该可以
1063,@记录生活的蛋黄派@绵羊料理@南翔不爱吃饭
1064,BGM是吃醋！！！！！！！
1065,你干嘛，诶呦
1066,你干嘛~哈哈~哟
1067,你干嘛~哎哟
1068,合影
1069,真的没《欧力给》【幻听】
1070,这粤语好像日语啊
1071,等我有钱了一定要买一台能吃屏幕里东西的手机
1072,鸡：你干嘛～
1073,炫我嘴里
1074,你干嘛～
1075,你干嘛～哎呦～
1076,合影
1077,可以蘸酱的哇！
1078,可以白切的哇
1079,啊啊啊啊啊
1080,你干嘛～哎哟～
1081,他居然想教会我要不是字幕我都听不懂他在说什么
1082,饿了 呜呜呜
1083,看几次sp
1084,合影
1085,在家可以改成烤的试试
1086,感觉在家不好操作哈哈哈哈哈
1087,口水gei啊
1088,猴猴妹啊
1089,弹幕差评
1090,怪不得失传……
1091,可是我不就在你这找到了吗（）
1092,@
1093,能让看见猴子都来探店吗？
1094,你知道我要说什么
1095,做我家坤坤行吗
1096,好美的鸡
1097,1122
1098,收藏从未停止，实践从未开始
1099,鸡督受难像
1100,？他刚是不是骂我了
1101,不想看粤语的叉出去 好不容易看到讲粤语的视频
1102,我们广东这边还是挺常见的
1103,1.2
1104,KFC觉得很赞
1105,大户人家
1106,你干嘛～
1107,哇~~~~~（随和）
1108,如果学不会，你怎么那么蠢！
1109,前面的，这么看不起方言求你以后都别讲家乡话
1110,说绵阳的那个让我想起了当年大姨翻车经历了
1111,空气炸锅不行。
1112,乐哥！一
1113,巴闭
1114,银屯
1115,都没火烧
1116,白天刷不到 晚上躲不掉系列！！！
1117,1！5!
1118,我好像吃过
1119,想吃
1120,很好看
1121,1 2
1122,合影
1123,广东人无鸡不欢
1124,1！2！
1125,1！！2！(  )
1126,《用油轰炸》
1127,止步于此
1128,福建鸡（doge）
1129,他让我想起了饮茶先了
1130,就这俩字听懂了
1131,不应该推广普通话的嘛
1132,太烧啦！
1133,可爱捏
1134,应该是贝壳类那个瑶柱吧
1135,我特么甚至听不懂他在说啥（doge）
1136,烧
1137,一口咬下去，满口都是油
1138,宽油劝退
1139,网上就有做法
1140,搜的到呢
1141,广州人听得懂哈哈哈哈哈哈
1142,哈哈哈哈哈哈哈哈哈
1143,如果我没记错这个大哥上过中餐厅吧
1144,商机来了
1145,一等一的
1146,你再骂！（别当我听不懂粤语）
1147,时代变了
1148,哇！
1149,烧
1150,本人三生有幸吃过一次
1151,有鸡的地方就有乐哥
1152,早上刷不到，晚上逃不掉
1153,来深圳啦
1154,太油了吧
1155,里面是鸡油还是炸的油
1156,有人听不懂粤语吗？不会吧，不会吧，不会这年头还有人听不懂粤语吧！
1157,感觉我来了抖音上
1158,好像在看英语电影哈哈哈（不会粤语的痛苦）
1159,我懂了！是南孚！他加了南孚电池！
1160,收藏从未停止实践从未开始
1161,烂
1162,起风纯粹抄袭
1163,等一下怎么跟我家天天吃那个东西一样
1164,没有这么多油炸鸡
1165,柱侯酱是啥？
1166,难绷
1167,说你死蠢
1168,没嘴能吃吗？
1169,你干嘛~~~
1170,少吹水了
1171,淦.
1172,炫我嘴里
1173,口水下来了
1174,多看几次色p (doge)
1175,屏幕上怎么这么多小黑子
1176,你干嘛骂我蠢！
1177,烧
1178,你干嘛唉嘿嘿呦～
1179,@米哈游
1180,去我收藏夹，吃灰吧
1181,250白醋
1182,勇闯无人区
1183,勇闯无人区
1184,你知道我想说什么
1185,这个不失传，鸡都灭绝了
1186,@记录生活的蛋黄派
1187,看这恐怖的收藏量
1188,放心，我会的
1189,1212
1190,千与千寻里的（雀信）
1191,狼行？
1192,清远鸡
1193,哈哈哈哈哈
1194,空气炸锅会炸了吧
1195,四季防寒
1196,龙提到菜发霉
1197,你再骂（恳请）
1198,钱还是给您赚吧
1199,好费油的菜啊
