title,view_num,danmu,upload_time,up_author,video_url
你是“蒸”广东人吗？2022了谁说粤菜做鱼只会清蒸？,135.5万,,2022/1/15,厨师徐嘉乐,www.bilibili.com/video/BV1sL4y1474Y?from=search
N刷鉴定天河最平靓正的街坊粤菜馆，菜式出品传统地道且量大价平，真的是天河少有,27.2万,,2021/12/17,毛毛美食指南,www.bilibili.com/video/BV1fR4y1p7Bk?from=search
大厨花5天时间只为制作一道粤菜“鲍鱼”，美味需要时间沉淀,88.7万,,2019/6/28,主厨农国栋,www.bilibili.com/video/BV1Vx411d7Am?from=search
久违的高质量传统粤菜，花都这家粤菜馆吃到了对正统粤菜精髓的坚持，出品用心意犹未尽,26.9万,,2021/11/9,毛毛美食指南,www.bilibili.com/video/BV1sb4y187jH?from=search
【大师的菜·脆皮烧鸡】广东脆皮烧鸡征服万千食客，三步腌制缺一不可，粤菜名厨教你做！,24.5万,,2019/6/21,大师的菜,www.bilibili.com/video/BV1Y441137iS?from=search
本地人才知道的老牌粤菜，据说是广州第一啫煲，独栋楼房挤满食客,5.1万,,2023/5/26,大兵探店,www.bilibili.com/video/BV1sh411c7pg?from=search
粤菜大厨分享酒店-啫啫酱，只要下5克即可让所有砂锅菜升级,26.6万,,2019/7/19,主厨农国栋,www.bilibili.com/video/BV1Mt411n7Yx?from=search
粤菜,1731,,2018/5/25,发情的秀太,www.bilibili.com/video/BV1Wp411R7i9?from=search
在上海造价148亿的大厦吃“最贵粤菜 ”经费在燃烧！1388/位,74.7万,,2020/9/28,张喜喜-,www.bilibili.com/video/BV1TA411J7eG?from=search
顶级名厨演绎极品食材，难得一见的古法粤菜！,43.8万,,2022/12/10,渣叔爱酒,www.bilibili.com/video/BV1bK41167nj?from=search
藏在天河中心区极具烟火气的街坊粤菜，出品相当地道价格远脱离天河水平，是家宝藏小店,14.4万,,2022/4/25,毛毛美食指南,www.bilibili.com/video/BV16Y4y187Xd?from=search
粤菜经典“姜葱爆生鱼片”秘诀！鱼片不散，鲜嫩爽滑，绝了！,9.9万,,2021/6/19,补王张小厨,www.bilibili.com/video/BV1mU4y157JU?from=search
八大菜系-粤菜,7207,,2018/9/1,FlatMaicc,www.bilibili.com/video/BV1iW411f7i7?from=search
换种方法做#鸡煲 鲜香味甜！#一只鸡的百种做法 #粤菜,3089,,2023/9/20,Lookocherry大徐,www.bilibili.com/video/BV16P411b7ry?from=search
经典粤菜，又香又入味蜜汁小排，它可是农师傅从厨学的第一个招牌菜,27.2万,,2023/6/15,主厨农国栋,www.bilibili.com/video/BV1214y1S71f?from=search
广东粤菜农庄，顺德名菜酿鲮鱼，烧鹅皮脆肉嫩，阿星吃广式煎堆,17.7万,,2020/11/13,阿星探店,www.bilibili.com/video/BV1r54y1z7Qv?from=search
粤菜白灼鲍鱼，年夜菜的第三道菜来了，年夜饭少不了的鲍鱼，简单的做法就很鲜味了！,8.0万,,2022/1/3,澳门厨房佬,www.bilibili.com/video/BV1gS4y1T7cS?from=search
粤菜中公认的十大名菜，你吃过几道,8301,,2022/7/5,小融吃吃吃,www.bilibili.com/video/BV17S4y1n76i?from=search
鱼还在清蒸？经典粤菜蒸麒麟鱼，滑嫩无比，那叫一个香~,39.7万,,2022/1/11,老饭骨,www.bilibili.com/video/BV1SY41187yP?from=search
广州也太好吃了吧！从糖水小吃到粤菜大餐，食在广州不得不服,6.6万,,2023/2/21,主厨广坦,www.bilibili.com/video/BV1Mx4y1F7qm?from=search
想吃耗油菜心，不用再去粤菜馆，在家只需三分钟，家常做法超简单,3.8万,,2020/12/27,天天相见厨房,www.bilibili.com/video/BV14p4y1B7LW?from=search
还原经典老粤菜，鲜爽弹滑！好吃又好看，味道叫一绝~丨百花酿带子,40.2万,,2023/3/30,老饭骨,www.bilibili.com/video/BV1ws4y1n7xp?from=search
本地人才知道的老牌粤菜，据说是广州第一啫煲，独栋楼房挤满食客,5.1万,,2023/5/26,大兵探店,www.bilibili.com/video/BV1sh411c7pg?from=search
【粤菜】八大菜系你中意哪个,4298,,2021/10/2,粤菜介绍,www.bilibili.com/video/BV1CP4y1b7xu?from=search
粤菜经典“沙姜白切猪手”！撑握秘诀，Q弹爽口，夏天开胃神菜,7.7万,,2022/7/8,补王张小厨,www.bilibili.com/video/BV1AV4y1n7Bs?from=search
粤菜里历史悠久的名肴“鱼腐”你吃过吗，家常版的做法教给大家,26.1万,,2020/10/16,主厨农国栋,www.bilibili.com/video/BV1pa4y1L7iP?from=search
粤菜泰斗来袭！带你解锁什么是最正宗的豉油王【玫瑰豉油鸡】,4.6万,,2021/6/20,厨邦大师开饭,www.bilibili.com/video/BV1iK4y1u7PS?from=search
粤菜大厨分享广东人的最爱“萝卜牛腩煲”正宗做法，你不学吗？,18.3万,,2019/3/21,打靶鬼vIog,www.bilibili.com/video/BV1Wb411J7we?from=search
经典粤菜，又香又入味蜜汁小排，它可是农师傅从厨学的第一个招牌菜,27.2万,,2023/6/15,主厨农国栋,www.bilibili.com/video/BV1214y1S71f?from=search
比咸猪手更好吃的南乳黄豆猪手 广东经典粤菜 ，强筋骨，营养好，红润酥软，好下饭,4.4万,,2021/10/24,小喵粑粑,www.bilibili.com/video/BV1dL411g7PY?from=search
谁能抵挡咸鱼煎肉饼的美味 下饭神器#家常菜 #粤菜 #下饭菜,6793,,2023/2/12,Lookocherry大徐,www.bilibili.com/video/BV1kx4y1L7hQ?from=search
【品城记】“我们想做自己独有味道的粤菜！” 升级后的小查楼，凭什么这么说？,13.6万,,2022/9/29,品城记本地版,www.bilibili.com/video/BV1ig411e7tj?from=search
中国哪个菜系最受欢迎？川菜/粤菜/湘菜/苏菜/鲁菜/浙菜【数据可视化】,24.9万,,2020/5/13,_江之岛盾子_,www.bilibili.com/video/BV1op4y1Q7zv?from=search
顶级名厨演绎极品食材，难得一见的古法粤菜！,43.8万,,2022/12/10,渣叔爱酒,www.bilibili.com/video/BV1bK41167nj?from=search
成都不多见的高品质粤菜自助，99元一位随便吃，原材料好，出品超预期，强烈推荐！!,26.8万,,2022/8/18,馒头叔叔就是大馒头,www.bilibili.com/video/BV1jg411r7C7?from=search
教你横行大排档的经典粤菜。很简单，但真的很好吃。啤酒小烧烤 再来一锅粉丝煲，绝了！,6.2万,,2021/6/17,小曲和小五,www.bilibili.com/video/BV1h44y1B7AG?from=search
耗时8小时！做出似薯片皮脆的烤乳猪！所有细节和配方，粤菜泰斗利老师带你一探究竟！,74.6万,,2022/7/23,厨邦大师开饭,www.bilibili.com/video/BV1vF411P7yY?from=search
广州传承40多年的老字号粤菜馆，专注怀旧点心，人气爆满,6.8万,,2023/2/13,广州吃货Video,www.bilibili.com/video/BV1c84y1p7sm?from=search
越秀超实惠的街坊粤菜馆，178居然就可以吃到6个菜难怪街坊都坐满，招牌烧鹅更是靓,16.3万,,2021/11/30,毛毛美食指南,www.bilibili.com/video/BV1UM4y1P7Cn?from=search
怎样才叫顶级私房粤菜？天河这家私房餐厅几乎全是少见的顶级粤菜，老广吃过都难忘,22.5万,,2021/7/3,毛毛美食指南,www.bilibili.com/video/BV1c54y1p7NP?from=search
经典粤菜鲍汁捞饭太鲜美了，其实做法很简单！,3.5万,,2023/6/23,南木Cooking,www.bilibili.com/video/BV1su41187gm?from=search
咸鱼蒸肉饼是一道经典的粤菜，可能都会做，但要做好是要技巧的哦,6.3万,,2023/4/13,主厨农国栋,www.bilibili.com/video/BV1VV4y1Z7cL?from=search
广州65元一位的粤菜自助！免茶位还有生蚝刺身？真的好吃吗？,13.4万,,2023/2/21,一支小皮皮,www.bilibili.com/video/BV1c84y1H75G?from=search
杭州城里高性价比的粤菜馆，我终于找到了一份好吃满意的叉烧肉！,2.7万,,2023/8/3,我爸老郑,www.bilibili.com/video/BV1Jk4y1g7oQ?from=search
老广们的饭堂！藏在广州天桥底下的老字号粤菜馆，人均不到40,17.5万,,2022/3/15,广州吃货Video,www.bilibili.com/video/BV1Nu411z7RL?from=search
换种方法做#鸡煲 鲜香味甜！#一只鸡的百种做法 #粤菜,3089,,2023/9/20,Lookocherry大徐,www.bilibili.com/video/BV16P411b7ry?from=search
又吃到好吃的脆皮炸大肠！荔湾龙津老牌街坊粤菜，整体出品不错价格实在,5.5万,,2023/6/24,毛毛美食指南,www.bilibili.com/video/BV1Qg4y1P7Dh?from=search
茄子不用油炸一样好味？咸鱼茄子煲，还得看粤菜师傅怎么做！,29.8万,,2022/10/6,厨师徐嘉乐,www.bilibili.com/video/BV1Be411j7Ur?from=search
能把干炒牛河做到色香味俱全的厨师，才是一个好的粤菜厨师,35.6万,,2020/12/30,主厨农国栋,www.bilibili.com/video/BV1tv411t7hi?from=search
广州这家酒楼，竟能吃到80年代的粤菜味道！,2541,,2023/9/19,Jira蚂蚁觅食,www.bilibili.com/video/BV1394y1p7XA?from=search
发现一家全都是老广在吃的老牌粤菜馆，十分低调但出品却不赖。少有饭店还在做的深井烧鹅，值得一试！真的好香，就是吃多腻！早茶出品也很不错！,3140,,2023/9/11,NeiNei_旅行日记,www.bilibili.com/video/BV18z4y1j7gX?from=search
广州｜员村饭堂3.0～ 37年粤菜老字号 吉利食店｜自费干饭,7135,,2023/9/2,喂食猫大土豆,www.bilibili.com/video/BV1Fu411P7ja?from=search
【中華料理】脆皮烧肉 皮脆肉嫩粤菜好风味,22.9万,,2017/11/22,梧桐的美麗世界,www.bilibili.com/video/BV1kx411V7Hy?from=search
长见识了，绝大部分人都没吃过的，近乎失传的传统粤菜,7.4万,,2023/6/12,大兵探店,www.bilibili.com/video/BV1mu411Y7ff?from=search
在上海造价148亿的大厦吃“最贵粤菜 ”经费在燃烧！1388/位,74.7万,,2020/9/28,张喜喜-,www.bilibili.com/video/BV1TA411J7eG?from=search
八大菜系之--粤菜,785,,2023/2/25,嘚叭美食,www.bilibili.com/video/BV1Es4y187YR?from=search
长见识了，绝大部分人都没吃过的，近乎失传的传统粤菜,7.4万,,2023/6/12,大兵探店,www.bilibili.com/video/BV1mu411Y7ff?from=search
